Date,Category,Income,Expense,Profit
2024-05-15,Еда,0,9500,-9500
2024-05-20,Транспорт,0,3700,-3700
2024-05-27,Развлечения,0,7300,-7300
2024-06-03,Зарплата,140000,0,140000
2024-06-09,Фриланс,33000,0,33000
2024-06-13,Еда,0,10100,-10100
2024-06-18,Транспорт,0,3900,-3900
2024-06-25,Развлечения,0,8800,-8800
2024-07-01,Зарплата,140000,0,140000
2024-07-08,Фриланс,37500,0,37500
2024-07-11,Еда,0,9800,-9800
2024-07-16,Транспорт,0,4000,-4000
2024-07-23,Развлечения,0,9100,-9100
2024-08-05,Зарплата,140000,0,140000
2024-08-10,Фриланс,26000,0,26000
2024-08-14,Еда,0,10300,-10300
2024-08-19,Транспорт,0,4100,-4100
2024-08-26,Развлечения,0,8600,-8600
2024-09-02,Зарплата,142000,0,142000
2024-09-08,Фриланс,31000,0,31000
2024-09-12,Еда,0,9600,-9600
2024-09-17,Транспорт,0,3800,-3800
2024-09-24,Развлечения,0,7900,-7900
2024-10-07,Зарплата,142000,0,142000
2024-10-13,Фриланс,42000,0,42000
2024-10-16,Еда,0,10500,-10500
2024-10-21,Транспорт,0,4300,-4300
2024-10-28,Развлечения,0,9400,-9400
2024-11-04,Зарплата,142000,0,142000
2024-11-10,Фриланс,28000,0,28000
2024-11-14,Еда,0,9900,-9900
2024-11-19,Транспорт,0,3900,-3900
2024-11-25,Развлечения,0,8700,-8700
2024-12-02,Зарплата,145000,0,145000
2024-12-09,Фриланс,46000,0,46000
2024-12-12,Еда,0,11200,-11200
2024-12-17,Транспорт,0,4500,-4500
2024-12-23,Развлечения,0,10200,-10200
2023-01-19,Зарплата,0,0,0
2023-02-16,Фриланс,0,0,0
2023-03-22,Еда,0,0,0
2023-04-11,Транспорт,0,0,0
2023-05-09,Развлечения,0,0,0
2023-06-21,Зарплата,0,0,0
2023-07-17,Фриланс,0,0,0
2023-08-14,Еда,0,0,0
2023-09-11,Транспорт,0,0,0
2023-10-09,Развлечения,0,0,0
2023-11-13,Зарплата,0,0,0
2023-12-11,Фриланс,0,0,0
2024-01-23,Еда,0,0,0
2024-02-20,Транспорт,0,0,0
2024-03-19,Развлечения,0,0,0
2024-04-15,Зарплата,0,0,0
2024-05-13,Фриланс,0,0,0
2024-06-17,Еда,0,0,0
2024-07-22,Транспорт,0,0,0
2024-08-20,Развлечения,0,0,0
2024-09-16,Зарплата,0,0,0
2024-10-14,Фриланс,0,0,0
2024-11-18,Еда,0,0,0
2024-12-16,Транспорт,0,0,0
2023-01-27,Развлечения,0,0,0
2023-02-22,Зарплата,0,0,0
2023-03-29,Фриланс,0,0,0
2023-04-25,Еда,0,0,0
2023-05-30,Транспорт,0,0,0
2023-06-28,Развлечения,0,0,0
2023-07-26,Зарплата,0,0,0
2023-08-23,Фриланс,0,0,0
2023-09-27,Еда,0,0,0
2023-10-25,Транспорт,0,0,0
2023-11-29,Развлечения,0,0,0
2023-12-27,Зарплата,0,0,0
2024-01-30,Фриланс,0,0,0
2024-02-27,Еда,0,0,0
2024-03-26,Транспорт,0,0,0
2024-04-29,Развлечения,0,0,0
2024-05-28,Зарплата,0,0,0
2024-06-26,Фриланс,0,0,0
2024-07-29,Еда,0,0,0
2024-08-27,Транспорт,0,0,0
2024-09-25,Развлечения,0,0,0
2024-10-29,Зарплата,0,0,0
2024-11-26,Фриланс,0,0,0
2024-12-18,Еда,0,0,0
